%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -42871.47287982379, 21405.14807762481, -41450.21485688864, -25271.642240481644, -11242.815702297175, -13953.255290181076, -187500.02235174447, -4771.382185385488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988103E9, 0.0, 2023-09-29 19:21:17.988
210.0, -42850.41753654689, 21156.350810092787, -41408.05946684593, -25239.791004632832, -11196.212315107861, -13918.811251975449, -187500.02235174447, -4720.55431849412, -8448.691183172607, 25911.70679470382, -26218.842115264193, -21576.429495385826, 74.18543984716415, -5979.672787150477, -21765.189977310896, -37687.790416215714, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69603327798811E9, 0.0, 2023-09-29 19:21:17.988
212.0, -42865.974350687786, 21433.691255294234, -41447.1303161538, -25249.134033815153, -11229.583469579635, -13945.678048810727, -187500.02235174447, -4743.88953970546, -8365.073307165303, 26075.947412961414, -25986.51808339573, -21579.93871926531, 99.39820759275051, -5914.137472407517, -21753.790587638687, -37623.35033695106, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988114E9, 0.0, 2023-09-29 19:21:17.988
214.0, -42859.02295816219, 21133.306161559365, -41431.55115026845, -25267.73068520197, -11210.383321092526, -13928.869536980337, -187500.02235174447, -4721.046056872136, -8444.310241259365, 25924.715509976806, -26209.163809915044, -21591.74044033771, 95.39724533525055, -5971.715566124388, -21779.942128651397, -37701.02264893325, 0.15, 1.002, 0.216, 192.0, 2.0, 88.0, 15.5, 40.0, 3.0, 96.0, 0.0, 0.0, 0.0, 1.696033277988118E9, 0.0, 2023-09-29 19:21:17.988
216.0, -42877.59725780455, 21484.87675009689, -41458.417947103735, -25237.309960998293, -11227.50475734529, -13931.99878120408, -187500.02235174447, -4719.816710927094, -8377.120897426712, 26064.503319800297, -25988.306222952157, -21583.157370466874, 121.8617107703341, -5872.1832480649055, -21768.185111067905, -37630.6817091324, 0.15, 1.002, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988121E9, 0.0, 2023-09-29 19:21:17.988
218.0, -42873.86451648051, 21107.333434502296, -41453.455859834656, -25292.272900613894, -11219.07814968564, -13921.247592121077, -187500.02235174447, -4709.847832900028, -8463.264520557466, 25907.906998146416, -26210.14728667108, -21600.7481933532, 113.59156532187049, -5934.119931950561, -21791.050945645686, -37706.677640280446, 0.15, 1.002, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988124E9, 0.0, 2023-09-29 19:21:17.988
220.0, -42867.89660071094, 21497.68429966978, -41467.69392105269, -25239.14280404363, -11214.496042072302, -13914.251496106566, -187500.02235174447, -4703.768158408184, -8371.220036890512, 26056.903726685494, -26020.179810545425, -21594.780277583635, 138.51376038953788, -5861.365003748537, -21771.336707036106, -37639.64475865898, 0.15, 1.002, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988127E9, 0.0, 2023-09-29 19:21:17.988
222.0, -42873.75275775824, 21079.639623122173, -41467.42570011922, -25320.704319561046, -11209.422196080946, -13914.475013551119, -187500.02235174447, -4706.875050887472, -8451.283985529422, 25949.88357423348, -26210.303748882267, -21605.553818411092, 132.21056845314126, -5924.799254512698, -21788.346384566594, -37708.24226239232, 0.15, 1.002, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033277988131E9, 0.0, 2023-09-29 19:21:17.988
224.0, -42897.06562722512, 21507.429660252295, -41471.47136586563, -25237.488774953938, -11204.750681489788, -13903.075623878913, -187500.02235174447, -4695.363902492989, -8384.005234718947, 26053.036874894726, -26033.09911884059, -21582.8444460445, 145.9121878042445, -5843.170683761917, -21768.07335234563, -37641.00821507075, 0.156, 1.0, 0.216, 192.0, 2.0, 112.0, 15.5, 32.0, 3.0, 96.0, 0.0, 0.0, 0.0, 1.696033277988134E9, 0.0, 2023-09-29 19:21:17.988
0.0, -21400.99065315612, 10748.931556812711, -20714.85915361156, -12628.422692826116, -5633.108989370941, -6997.280656967242, -93750.01117587223, -2299.1898416507056, -4234.605042291289, 12942.554109401002, -13133.527414027145, -10794.640874223815, 67.68108221066979, -2958.119268193158, -10893.72615739419, -18863.151235956102, 0.152, 0.996, 0.218, 192.0, 2.0, 96.0, 15.5, 16.0, 3.0, 104.0, 0.0, 0.0, 0.0, 1.696033278137169E9, 0.0, 2023-09-29 19:21:18.137
2.0, -42821.53908271064, 21970.98248851091, -41410.98754536957, -25117.705776417944, -11242.5027778748, -13971.069630511956, -187500.02235174447, -4562.1475055393585, -8157.939691297972, 26309.25492158591, -26114.325358191178, -21551.104968917964, 149.3543564503618, -5833.91706155742, -21815.16847791296, -37711.08093393814, 0.152, 0.996, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033278137184E9, 0.0, 2023-09-29 19:21:18.137
4.0, -42803.43416970184, 21658.415694047893, -41427.796057199965, -25247.547059958826, -11280.880723104563, -14006.564200706984, -187500.02235174447, -4611.611916018953, -8181.252560764857, 26276.174339792055, -26106.92693077647, -21549.070960172532, 136.32328943291776, -5858.392221735981, -21825.27146640676, -37735.44433539442, 0.152, 0.996, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033278137188E9, 0.0, 2023-09-29 19:21:18.137
6.0, -42822.81313214459, 21959.940726749985, -41381.10326303283, -25101.277244243294, -11234.769074293265, -13968.968566533158, -187500.02235174447, -4561.946339839261, -8153.648156362553, 26288.780723664848, -26135.2689427458, -21543.617134525437, 157.75861236555724, -5843.170683761917, -21800.773954483742, -37710.790361260224, 0.152, 0.996, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033278137191E9, 0.0, 2023-09-29 19:21:18.137
8.0, -42798.94146906632, 21763.446541243382, -41415.770818683006, -25228.83864984973, -11281.32775799367, -14008.1064710744, -187500.02235174447, -4619.703247511774, -8170.836647848684, 26284.73505791844, -26059.563584275675, -21554.681248030814, 138.11142898934233, -5865.142448561483, -21816.107251180085, -37718.56876833067, 0.146, 1.0, 0.214, 192.0, 2.0, 72.0, 15.5, 32.0, 3.0, 88.0, 0.0, 0.0, 0.0, 1.696033278137195E9, 0.0, 2023-09-29 19:21:18.137
